title,artist,track_id,track_image,country,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
SHELL,Aaberg,7b31zLrrN41luoYpF2bfJJ,https://cdnimg.melon.co.kr/cm2/album/images/075/17/428/7517428_20240627173317_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.618,0.731,8,-8.759,1,0.0317,0.744,0.055,0.101,0.551,109.995,audio_features,7b31zLrrN41luoYpF2bfJJ,spotify:track:7b31zLrrN41luoYpF2bfJJ,https://api.spotify.com/v1/tracks/7b31zLrrN41luoYpF2bfJJ,https://api.spotify.com/v1/audio-analysis/7b31zLrrN41luoYpF2bfJJ,224500,4
Plague,Nox Novacula,0ACspZOdT2EAwINuo3AsrQ,https://cdnimg.melon.co.kr/cm2/album/images/074/89/856/7489856_20240626033016_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.324,0.953,2,-4.821,1,0.0651,0.000211,0.23,0.143,0.248,165.129,audio_features,0ACspZOdT2EAwINuo3AsrQ,spotify:track:0ACspZOdT2EAwINuo3AsrQ,https://api.spotify.com/v1/tracks/0ACspZOdT2EAwINuo3AsrQ,https://api.spotify.com/v1/audio-analysis/0ACspZOdT2EAwINuo3AsrQ,230040,4
When The Earth Was Round,Brian Ray,3C8e4WBdDWTcvPQYxWIhbc,https://cdnimg.melon.co.kr/cm2/album/images/074/16/644/7416644_20240508145318_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.54,0.721,0,-7.961,1,0.0281,1.3e-05,0.0,0.269,0.394,109.99,audio_features,3C8e4WBdDWTcvPQYxWIhbc,spotify:track:3C8e4WBdDWTcvPQYxWIhbc,https://api.spotify.com/v1/tracks/3C8e4WBdDWTcvPQYxWIhbc,https://api.spotify.com/v1/audio-analysis/3C8e4WBdDWTcvPQYxWIhbc,225533,4
Angry Side,Millie Manders and The Shutup,792uMkcVCr1XrxraSsKJTX,https://cdnimg.melon.co.kr/cm2/album/images/073/91/203/7391203_20240502175740_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.404,0.892,2,-5.653,1,0.0493,0.000395,0.000126,0.362,0.499,174.959,audio_features,792uMkcVCr1XrxraSsKJTX,spotify:track:792uMkcVCr1XrxraSsKJTX,https://api.spotify.com/v1/tracks/792uMkcVCr1XrxraSsKJTX,https://api.spotify.com/v1/audio-analysis/792uMkcVCr1XrxraSsKJTX,161120,4
In The Morning,Lenox Hills,2tLdMXZM8XRN6hlVgLSb2W,https://cdnimg.melon.co.kr/cm2/album/images/073/89/028/7389028_20240502112107_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.506,0.819,6,-6.409,0,0.0534,0.000525,0.291,0.216,0.393,127.986,audio_features,2tLdMXZM8XRN6hlVgLSb2W,spotify:track:2tLdMXZM8XRN6hlVgLSb2W,https://api.spotify.com/v1/tracks/2tLdMXZM8XRN6hlVgLSb2W,https://api.spotify.com/v1/audio-analysis/2tLdMXZM8XRN6hlVgLSb2W,216668,4
>_TERMINAL,Gravemind,5VdAeok0Zno9X6RPfrQVlg,https://cdnimg.melon.co.kr/cm2/album/images/073/81/719/7381719_20240501201722_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.318,0.972,3,-3.705,0,0.209,3.42e-05,0.0337,0.107,0.125,165.07,audio_features,5VdAeok0Zno9X6RPfrQVlg,spotify:track:5VdAeok0Zno9X6RPfrQVlg,https://api.spotify.com/v1/tracks/5VdAeok0Zno9X6RPfrQVlg,https://api.spotify.com/v1/audio-analysis/5VdAeok0Zno9X6RPfrQVlg,230510,4
Ancient Horror,Sjodogg,4VReWbSM8rhSWKPRq0divs,https://cdnimg.melon.co.kr/cm2/album/images/073/80/449/7380449_20240501173438_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.391,0.933,8,-10.079,1,0.104,0.000131,0.713,0.103,0.0267,157.784,audio_features,4VReWbSM8rhSWKPRq0divs,spotify:track:4VReWbSM8rhSWKPRq0divs,https://api.spotify.com/v1/tracks/4VReWbSM8rhSWKPRq0divs,https://api.spotify.com/v1/audio-analysis/4VReWbSM8rhSWKPRq0divs,188525,4
Ecos De Libertad,James Manson,0qW1ZS7CpIlDTKpQcziEzf,https://cdnimg.melon.co.kr/cm2/album/images/073/37/167/7337167_20240306073657_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.496,0.952,1,-3.959,1,0.0445,0.00129,0.00547,0.332,0.762,150.011,audio_features,0qW1ZS7CpIlDTKpQcziEzf,spotify:track:0qW1ZS7CpIlDTKpQcziEzf,https://api.spotify.com/v1/tracks/0qW1ZS7CpIlDTKpQcziEzf,https://api.spotify.com/v1/audio-analysis/0qW1ZS7CpIlDTKpQcziEzf,207667,4
Kiss The Void,Beware of Darkness,6SmPvOqJzTKFgTkc91AVqM,https://cdnimg.melon.co.kr/cm2/album/images/072/32/310/7232310_20240229053342_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.454,0.852,7,-5.904,1,0.0381,0.00218,0.000147,0.372,0.474,104.035,audio_features,6SmPvOqJzTKFgTkc91AVqM,spotify:track:6SmPvOqJzTKFgTkc91AVqM,https://api.spotify.com/v1/tracks/6SmPvOqJzTKFgTkc91AVqM,https://api.spotify.com/v1/audio-analysis/6SmPvOqJzTKFgTkc91AVqM,240821,4
Sen Gidiyorsun,"Anıl Şallıel, Gripin",4nPP8oJbK6MSMksJwVhrhL,https://cdnimg.melon.co.kr/cm2/album/images/115/60/439/11560439_20240806171139_500.jpg/melon/resize/120/quality/80/optimize,etc,해외 록메탈,0.492,0.593,11,-7.134,0,0.0299,0.175,0.000775,0.146,0.194,129.902,audio_features,4nPP8oJbK6MSMksJwVhrhL,spotify:track:4nPP8oJbK6MSMksJwVhrhL,https://api.spotify.com/v1/tracks/4nPP8oJbK6MSMksJwVhrhL,https://api.spotify.com/v1/audio-analysis/4nPP8oJbK6MSMksJwVhrhL,283338,4
