title,artist,track_id,track_image,country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Drinking Again,"Wine Lovers, Lila Frascara",3xDzN008hfpe9VK6TOwyed,https://cdnimg.melon.co.kr/cm2/album/images/075/31/653/7531653_20240628100138_500.jpg/melon/resize/120/quality/80/optimize,etc,0.724,0.489,6,-12.496,0,0.03,0.0461,0.12,0.466,0.562,118.011,audio_features,3xDzN008hfpe9VK6TOwyed,spotify:track:3xDzN008hfpe9VK6TOwyed,https://api.spotify.com/v1/tracks/3xDzN008hfpe9VK6TOwyed,https://api.spotify.com/v1/audio-analysis/3xDzN008hfpe9VK6TOwyed,177750,4
Move On,Angie Pastor,53mDlB1TCK9wdPgca53Z2v,https://cdnimg.melon.co.kr/cm2/album/images/075/20/537/7520537_20240627214834_500.jpg/melon/resize/120/quality/80/optimize,etc,0.257,0.25,11,-9.483,1,0.0304,0.784,0.0,0.114,0.129,89.093,audio_features,53mDlB1TCK9wdPgca53Z2v,spotify:track:53mDlB1TCK9wdPgca53Z2v,https://api.spotify.com/v1/tracks/53mDlB1TCK9wdPgca53Z2v,https://api.spotify.com/v1/audio-analysis/53mDlB1TCK9wdPgca53Z2v,236440,3
PAX,Eric Escanes,3Yvjfs8wTX3rKyNqVPOwCz,https://cdnimg.melon.co.kr/cm2/album/images/075/15/495/7515495_20240627144004_500.jpg/melon/resize/120/quality/80/optimize,etc,0.653,0.982,9,-5.541,1,0.0525,0.466,0.887,0.0941,0.607,120.02,audio_features,3Yvjfs8wTX3rKyNqVPOwCz,spotify:track:3Yvjfs8wTX3rKyNqVPOwCz,https://api.spotify.com/v1/tracks/3Yvjfs8wTX3rKyNqVPOwCz,https://api.spotify.com/v1/audio-analysis/3Yvjfs8wTX3rKyNqVPOwCz,283000,4
Lacrimae Solae,Radoslaw Kostecki,450WdvZCRslk6Px9CcgpiO,https://cdnimg.melon.co.kr/cm2/album/images/074/52/305/7452305_20240510194903_500.jpg/melon/resize/120/quality/80/optimize,etc,0.54,0.00656,7,-26.924,0,0.0935,0.978,0.914,0.11,0.411,120.173,audio_features,450WdvZCRslk6Px9CcgpiO,spotify:track:450WdvZCRslk6Px9CcgpiO,https://api.spotify.com/v1/tracks/450WdvZCRslk6Px9CcgpiO,https://api.spotify.com/v1/audio-analysis/450WdvZCRslk6Px9CcgpiO,132298,3
P.S. I Love You,Stella Cole,7IbXt8rAf2Qwcvdb4S8utc,https://cdnimg.melon.co.kr/cm2/album/images/115/60/857/11560857_20240806202755_500.jpg/melon/resize/120/quality/80/optimize,etc,0.221,0.257,7,-11.182,0,0.0298,0.947,0.094,0.229,0.128,84.413,audio_features,7IbXt8rAf2Qwcvdb4S8utc,spotify:track:7IbXt8rAf2Qwcvdb4S8utc,https://api.spotify.com/v1/tracks/7IbXt8rAf2Qwcvdb4S8utc,https://api.spotify.com/v1/audio-analysis/7IbXt8rAf2Qwcvdb4S8utc,258440,3
One Groove24,"GOMA Homeworks, GOMA",5KzLO8r7UWNDihOKz0rVTd,https://cdnimg.melon.co.kr/cm2/album/images/115/60/195/11560195_20240806142248_500.jpg/melon/resize/120/quality/80/optimize,etc,0.724,0.865,4,-8.125,0,0.0846,0.0958,0.95,0.124,0.322,123.83,audio_features,5KzLO8r7UWNDihOKz0rVTd,spotify:track:5KzLO8r7UWNDihOKz0rVTd,https://api.spotify.com/v1/tracks/5KzLO8r7UWNDihOKz0rVTd,https://api.spotify.com/v1/audio-analysis/5KzLO8r7UWNDihOKz0rVTd,319021,4
Starlit Harmony,NostalgicNotes,0VquNOeEWjp1DCbcxB8Td5,https://cdnimg.melon.co.kr/cm2/album/images/115/58/481/11558481_20240805111254_500.jpg/melon/resize/120/quality/80/optimize,etc,0.658,0.364,4,-19.194,0,0.0627,0.924,0.92,0.122,0.815,173.973,audio_features,0VquNOeEWjp1DCbcxB8Td5,spotify:track:0VquNOeEWjp1DCbcxB8Td5,https://api.spotify.com/v1/tracks/0VquNOeEWjp1DCbcxB8Td5,https://api.spotify.com/v1/audio-analysis/0VquNOeEWjp1DCbcxB8Td5,150650,4
Starry Night Festivities,NostalgicNotes,4zwopy8uygDlLdStGq5grQ,https://cdnimg.melon.co.kr/cm2/album/images/115/58/480/11558480_20240805111253_500.jpg/melon/resize/120/quality/80/optimize,etc,0.657,0.351,1,-19.009,0,0.177,0.775,0.891,0.097,0.752,195.957,audio_features,4zwopy8uygDlLdStGq5grQ,spotify:track:4zwopy8uygDlLdStGq5grQ,https://api.spotify.com/v1/tracks/4zwopy8uygDlLdStGq5grQ,https://api.spotify.com/v1/audio-analysis/4zwopy8uygDlLdStGq5grQ,176186,4
Open Door ,GAM Trio,4g63ITH5lBFDZhleCCkQuu,https://cdnimg.melon.co.kr/cm2/album/images/115/57/511/11557511_20240802150401_500.jpg/melon/resize/120/quality/80/optimize,etc,0.641,0.142,9,-15.147,0,0.0365,0.97,0.891,0.107,0.196,122.498,audio_features,4g63ITH5lBFDZhleCCkQuu,spotify:track:4g63ITH5lBFDZhleCCkQuu,https://api.spotify.com/v1/tracks/4g63ITH5lBFDZhleCCkQuu,https://api.spotify.com/v1/audio-analysis/4g63ITH5lBFDZhleCCkQuu,200219,4
So In Love,The Village,4zsTcc5tgkiVbQtSJ4ZAIC,https://cdnimg.melon.co.kr/cm2/album/images/115/57/509/11557509_20240802150353_500.jpg/melon/resize/120/quality/80/optimize,etc,0.51,0.412,1,-11.509,1,0.036,0.488,0.557,0.0501,0.698,93.022,audio_features,4zsTcc5tgkiVbQtSJ4ZAIC,spotify:track:4zsTcc5tgkiVbQtSJ4ZAIC,https://api.spotify.com/v1/tracks/4zsTcc5tgkiVbQtSJ4ZAIC,https://api.spotify.com/v1/audio-analysis/4zsTcc5tgkiVbQtSJ4ZAIC,310315,4
Once a Year ,Gustav Lundgren Quartet,4qMflAS7KsKe6SNaGg7Rwo,https://cdnimg.melon.co.kr/cm2/album/images/115/57/489/11557489_20240802145929_500.jpg/melon/resize/120/quality/80/optimize,etc,0.534,0.427,5,-14.703,0,0.0433,0.872,0.897,0.106,0.59,125.111,audio_features,4qMflAS7KsKe6SNaGg7Rwo,spotify:track:4qMflAS7KsKe6SNaGg7Rwo,https://api.spotify.com/v1/tracks/4qMflAS7KsKe6SNaGg7Rwo,https://api.spotify.com/v1/audio-analysis/4qMflAS7KsKe6SNaGg7Rwo,231377,4
들메다,Do & Be Sound,43SwwC91igakHNu5jLJfOC,https://cdnimg.melon.co.kr/cm2/album/images/115/56/655/11556655_20240801154912_500.jpg/melon/resize/120/quality/80/optimize,etc,0.688,0.37,5,-12.015,0,0.0459,0.956,0.902,0.171,0.412,120.13,audio_features,43SwwC91igakHNu5jLJfOC,spotify:track:43SwwC91igakHNu5jLJfOC,https://api.spotify.com/v1/tracks/43SwwC91igakHNu5jLJfOC,https://api.spotify.com/v1/audio-analysis/43SwwC91igakHNu5jLJfOC,214375,4
Prelude for Jules,Rob Van Bavel,4ys46IrLMW9oMM5asi8tDg,https://cdnimg.melon.co.kr/cm2/album/images/115/56/443/11556443_20240801145342_500.jpg/melon/resize/120/quality/80/optimize,etc,0.465,0.295,1,-17.452,1,0.0331,0.891,0.889,0.0956,0.175,126.178,audio_features,4ys46IrLMW9oMM5asi8tDg,spotify:track:4ys46IrLMW9oMM5asi8tDg,https://api.spotify.com/v1/tracks/4ys46IrLMW9oMM5asi8tDg,https://api.spotify.com/v1/audio-analysis/4ys46IrLMW9oMM5asi8tDg,260480,3
RESILIENCE SPEECH [Live],Ibrahim Maalouf,1on2tZo2sy4sGBziLISFSR,https://cdnimg.melon.co.kr/cm2/album/images/115/56/382/11556382_20240801144637_500.jpg/melon/resize/120/quality/80/optimize,etc,0.448,0.211,7,-18.611,1,0.0577,0.795,0.286,0.405,0.129,104.847,audio_features,1on2tZo2sy4sGBziLISFSR,spotify:track:1on2tZo2sy4sGBziLISFSR,https://api.spotify.com/v1/tracks/1on2tZo2sy4sGBziLISFSR,https://api.spotify.com/v1/audio-analysis/1on2tZo2sy4sGBziLISFSR,89416,4
Sugar Vista,HALF MILE BEACH CLUB,1zVY0zt8q0mGfrUwIcHbw1,https://cdnimg.melon.co.kr/cm2/album/images/115/56/325/11556325_20240801143611_500.jpg/melon/resize/120/quality/80/optimize,etc,0.691,0.771,7,-7.692,1,0.0348,0.165,0.849,0.0837,0.661,110.104,audio_features,1zVY0zt8q0mGfrUwIcHbw1,spotify:track:1zVY0zt8q0mGfrUwIcHbw1,https://api.spotify.com/v1/tracks/1zVY0zt8q0mGfrUwIcHbw1,https://api.spotify.com/v1/audio-analysis/1zVY0zt8q0mGfrUwIcHbw1,238273,4
Star Wars Main Theme,The SKAMOTTS,4eLsP4BJgoLoSQQwbkU7Io,https://cdnimg.melon.co.kr/cm2/album/images/115/56/322/11556322_20240801143557_500.jpg/melon/resize/120/quality/80/optimize,etc,0.596,0.847,3,-4.581,1,0.0435,0.00944,0.538,0.128,0.725,125.03,audio_features,4eLsP4BJgoLoSQQwbkU7Io,spotify:track:4eLsP4BJgoLoSQQwbkU7Io,https://api.spotify.com/v1/tracks/4eLsP4BJgoLoSQQwbkU7Io,https://api.spotify.com/v1/audio-analysis/4eLsP4BJgoLoSQQwbkU7Io,215355,4
