title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Havana,5tW1WVLeSj61qexZmyb1il,0.539,0.634,1,-5.964,1,0.0353,0.71,0.0,0.0983,0.525,114.543,audio_features,5tW1WVLeSj61qexZmyb1il,spotify:track:5tW1WVLeSj61qexZmyb1il,https://api.spotify.com/v1/tracks/5tW1WVLeSj61qexZmyb1il,https://api.spotify.com/v1/audio-analysis/5tW1WVLeSj61qexZmyb1il,249104,4
Aspirin ,1XtOuQ4BDSUBQqs7jWhIuA,0.608,0.854,2,-4.011,1,0.0477,0.091,0.0,0.0774,0.895,77.923,audio_features,1XtOuQ4BDSUBQqs7jWhIuA,spotify:track:1XtOuQ4BDSUBQqs7jWhIuA,https://api.spotify.com/v1/tracks/1XtOuQ4BDSUBQqs7jWhIuA,https://api.spotify.com/v1/audio-analysis/1XtOuQ4BDSUBQqs7jWhIuA,235267,4
첫사랑,67mKW03ylwfnhuOu95Je9C,0.401,0.598,4,-5.323,1,0.0274,0.681,2.31e-06,0.0905,0.279,176.019,audio_features,67mKW03ylwfnhuOu95Je9C,spotify:track:67mKW03ylwfnhuOu95Je9C,https://api.spotify.com/v1/tracks/67mKW03ylwfnhuOu95Je9C,https://api.spotify.com/v1/audio-analysis/67mKW03ylwfnhuOu95Je9C,228427,4
사랑이 슬픔에게,41IpMIfSgmj3lIsFEvlYzd,0.513,0.544,3,-4.582,0,0.031,0.324,0.0,0.0685,0.18,135.451,audio_features,41IpMIfSgmj3lIsFEvlYzd,spotify:track:41IpMIfSgmj3lIsFEvlYzd,https://api.spotify.com/v1/tracks/41IpMIfSgmj3lIsFEvlYzd,https://api.spotify.com/v1/audio-analysis/41IpMIfSgmj3lIsFEvlYzd,309711,4
농담 반 진담 반,6hJ5fh34Zrreygumi7LMAN,0.645,0.72,2,-6.354,1,0.0455,0.496,0.0,0.11,0.5,169.958,audio_features,6hJ5fh34Zrreygumi7LMAN,spotify:track:6hJ5fh34Zrreygumi7LMAN,https://api.spotify.com/v1/tracks/6hJ5fh34Zrreygumi7LMAN,https://api.spotify.com/v1/audio-analysis/6hJ5fh34Zrreygumi7LMAN,203919,4
소나기,43crdP1eMFeh7PKIrWczuC,0.449,0.628,8,-3.505,1,0.0295,0.0315,0.0,0.164,0.233,141.867,audio_features,43crdP1eMFeh7PKIrWczuC,spotify:track:43crdP1eMFeh7PKIrWczuC,https://api.spotify.com/v1/tracks/43crdP1eMFeh7PKIrWczuC,https://api.spotify.com/v1/audio-analysis/43crdP1eMFeh7PKIrWczuC,262920,4
I' ll Be There,4Gp6xAQSS6ZmkmcrwnaWiY,0.476,0.463,1,-9.68,1,0.0291,0.432,0.00186,0.448,0.175,111.959,audio_features,4Gp6xAQSS6ZmkmcrwnaWiY,spotify:track:4Gp6xAQSS6ZmkmcrwnaWiY,https://api.spotify.com/v1/tracks/4Gp6xAQSS6ZmkmcrwnaWiY,https://api.spotify.com/v1/audio-analysis/4Gp6xAQSS6ZmkmcrwnaWiY,239125,4
공원여행,79187n1gas7KlBN6F0Pqzh,0.789,0.701,8,-4.279,1,0.0381,0.194,4.2e-06,0.112,0.666,109.992,audio_features,79187n1gas7KlBN6F0Pqzh,spotify:track:79187n1gas7KlBN6F0Pqzh,https://api.spotify.com/v1/tracks/79187n1gas7KlBN6F0Pqzh,https://api.spotify.com/v1/audio-analysis/79187n1gas7KlBN6F0Pqzh,235267,4
회상,7pbVB3DZQSENc7owgemxx6,0.65,0.375,2,-11.87,1,0.0311,0.656,8.76e-05,0.325,0.549,139.216,audio_features,7pbVB3DZQSENc7owgemxx6,spotify:track:7pbVB3DZQSENc7owgemxx6,https://api.spotify.com/v1/tracks/7pbVB3DZQSENc7owgemxx6,https://api.spotify.com/v1/audio-analysis/7pbVB3DZQSENc7owgemxx6,201133,4
넌 내게 반했어,1Bjds5pJTvgzlheWp1oHGo,0.515,0.901,7,-2.956,1,0.0864,0.00118,1.33e-06,0.256,0.821,152.01,audio_features,1Bjds5pJTvgzlheWp1oHGo,spotify:track:1Bjds5pJTvgzlheWp1oHGo,https://api.spotify.com/v1/tracks/1Bjds5pJTvgzlheWp1oHGo,https://api.spotify.com/v1/audio-analysis/1Bjds5pJTvgzlheWp1oHGo,223653,4
