title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Seve 2.0 ,0Z2DaVumQ6gfmFngXl7XUb,0.799,0.79,10,-12.043,1,0.046,0.00552,0.5,0.106,0.126,121.009,audio_features,0Z2DaVumQ6gfmFngXl7XUb,spotify:track:0Z2DaVumQ6gfmFngXl7XUb,https://api.spotify.com/v1/tracks/0Z2DaVumQ6gfmFngXl7XUb,https://api.spotify.com/v1/audio-analysis/0Z2DaVumQ6gfmFngXl7XUb,396833,4
Discogym ,5EBcGk7UfebVDcIfvHeGSo,0.787,0.991,2,-5.987,1,0.0863,0.0913,0.00338,0.335,0.446,138.027,audio_features,5EBcGk7UfebVDcIfvHeGSo,spotify:track:5EBcGk7UfebVDcIfvHeGSo,https://api.spotify.com/v1/tracks/5EBcGk7UfebVDcIfvHeGSo,https://api.spotify.com/v1/audio-analysis/5EBcGk7UfebVDcIfvHeGSo,141125,4
Discogym,5EBcGk7UfebVDcIfvHeGSo,0.787,0.991,2,-5.987,1,0.0863,0.0913,0.00338,0.335,0.446,138.027,audio_features,5EBcGk7UfebVDcIfvHeGSo,spotify:track:5EBcGk7UfebVDcIfvHeGSo,https://api.spotify.com/v1/tracks/5EBcGk7UfebVDcIfvHeGSo,https://api.spotify.com/v1/audio-analysis/5EBcGk7UfebVDcIfvHeGSo,141125,4
Discogym ,5EBcGk7UfebVDcIfvHeGSo,0.787,0.991,2,-5.987,1,0.0863,0.0913,0.00338,0.335,0.446,138.027,audio_features,5EBcGk7UfebVDcIfvHeGSo,spotify:track:5EBcGk7UfebVDcIfvHeGSo,https://api.spotify.com/v1/tracks/5EBcGk7UfebVDcIfvHeGSo,https://api.spotify.com/v1/audio-analysis/5EBcGk7UfebVDcIfvHeGSo,141125,4
Discogym ,5EBcGk7UfebVDcIfvHeGSo,0.787,0.991,2,-5.987,1,0.0863,0.0913,0.00338,0.335,0.446,138.027,audio_features,5EBcGk7UfebVDcIfvHeGSo,spotify:track:5EBcGk7UfebVDcIfvHeGSo,https://api.spotify.com/v1/tracks/5EBcGk7UfebVDcIfvHeGSo,https://api.spotify.com/v1/audio-analysis/5EBcGk7UfebVDcIfvHeGSo,141125,4
drift,60Ivys3dcKhrW82hb6B99X,0.216,0.0984,0,-22.939,0,0.0348,0.552,0.938,0.146,0.0652,74.48,audio_features,60Ivys3dcKhrW82hb6B99X,spotify:track:60Ivys3dcKhrW82hb6B99X,https://api.spotify.com/v1/tracks/60Ivys3dcKhrW82hb6B99X,https://api.spotify.com/v1/audio-analysis/60Ivys3dcKhrW82hb6B99X,132121,4
You Have Been Targeted,3Y9yEstuM5JzLUfYZtRn7F,0.68,0.722,1,-7.654,0,0.0414,0.0112,0.502,0.11,0.326,144.062,audio_features,3Y9yEstuM5JzLUfYZtRn7F,spotify:track:3Y9yEstuM5JzLUfYZtRn7F,https://api.spotify.com/v1/tracks/3Y9yEstuM5JzLUfYZtRn7F,https://api.spotify.com/v1/audio-analysis/3Y9yEstuM5JzLUfYZtRn7F,153333,4
Hush,1qebf1K8v1Y3GeoYXtLOpE,0.724,0.867,2,-5.688,1,0.0483,0.0542,0.902,0.0556,0.165,134.02,audio_features,1qebf1K8v1Y3GeoYXtLOpE,spotify:track:1qebf1K8v1Y3GeoYXtLOpE,https://api.spotify.com/v1/tracks/1qebf1K8v1Y3GeoYXtLOpE,https://api.spotify.com/v1/audio-analysis/1qebf1K8v1Y3GeoYXtLOpE,263403,4
Oh Boy,0c40h1i6GGmEtOONFq9fKD,0.182,0.595,9,-7.078,1,0.0462,0.0303,8.73e-06,0.276,0.262,186.343,audio_features,0c40h1i6GGmEtOONFq9fKD,spotify:track:0c40h1i6GGmEtOONFq9fKD,https://api.spotify.com/v1/tracks/0c40h1i6GGmEtOONFq9fKD,https://api.spotify.com/v1/audio-analysis/0c40h1i6GGmEtOONFq9fKD,279747,3
Once In A Lifetime,0mwI1pte7ogpA01wWfIR06,0.499,0.674,7,-10.16,1,0.0426,5.6e-06,0.864,0.084,0.832,135.987,audio_features,0mwI1pte7ogpA01wWfIR06,spotify:track:0mwI1pte7ogpA01wWfIR06,https://api.spotify.com/v1/tracks/0mwI1pte7ogpA01wWfIR06,https://api.spotify.com/v1/audio-analysis/0mwI1pte7ogpA01wWfIR06,305389,4
Fire ,1pdKq2RNMatQgrVMjKNyqT,0.585,0.939,0,-5.434,1,0.0419,0.00117,0.32,0.0966,0.298,125.991,audio_features,1pdKq2RNMatQgrVMjKNyqT,spotify:track:1pdKq2RNMatQgrVMjKNyqT,https://api.spotify.com/v1/tracks/1pdKq2RNMatQgrVMjKNyqT,https://api.spotify.com/v1/audio-analysis/1pdKq2RNMatQgrVMjKNyqT,177143,4
Les cactus ,6N8bfaDYWJb7yyqdBcf0s8,0.56,0.812,4,-6.711,1,0.0411,0.0223,0.00153,0.0224,0.919,123.934,audio_features,6N8bfaDYWJb7yyqdBcf0s8,spotify:track:6N8bfaDYWJb7yyqdBcf0s8,https://api.spotify.com/v1/tracks/6N8bfaDYWJb7yyqdBcf0s8,https://api.spotify.com/v1/audio-analysis/6N8bfaDYWJb7yyqdBcf0s8,162440,4
Você Me Vira A Cabeça ,6HC2oHUAbDJmffYKPZKtTg,0.59,0.572,8,-6.28,1,0.064,0.715,0.0372,0.158,0.0517,81.151,audio_features,6HC2oHUAbDJmffYKPZKtTg,spotify:track:6HC2oHUAbDJmffYKPZKtTg,https://api.spotify.com/v1/tracks/6HC2oHUAbDJmffYKPZKtTg,https://api.spotify.com/v1/audio-analysis/6HC2oHUAbDJmffYKPZKtTg,115183,4
Foge-Me Ao Controle ,4sHssYOJUzGFJlXvilUifo,0.7,0.366,2,-11.693,1,0.036,0.327,0.274,0.11,0.226,109.991,audio_features,4sHssYOJUzGFJlXvilUifo,spotify:track:4sHssYOJUzGFJlXvilUifo,https://api.spotify.com/v1/tracks/4sHssYOJUzGFJlXvilUifo,https://api.spotify.com/v1/audio-analysis/4sHssYOJUzGFJlXvilUifo,263509,4
Rezos Ancestrais ,6oKllAGJMBIertSYSal7xR,0.643,0.874,6,-7.273,1,0.0426,0.0137,0.647,0.161,0.0381,123.996,audio_features,6oKllAGJMBIertSYSal7xR,spotify:track:6oKllAGJMBIertSYSal7xR,https://api.spotify.com/v1/tracks/6oKllAGJMBIertSYSal7xR,https://api.spotify.com/v1/audio-analysis/6oKllAGJMBIertSYSal7xR,318165,4
Ocean ,2dfhrd0GPiffQjHaGWQCiE,0.432,0.766,0,-4.894,1,0.0381,0.0836,1.1e-06,0.257,0.136,94.907,audio_features,2dfhrd0GPiffQjHaGWQCiE,spotify:track:2dfhrd0GPiffQjHaGWQCiE,https://api.spotify.com/v1/tracks/2dfhrd0GPiffQjHaGWQCiE,https://api.spotify.com/v1/audio-analysis/2dfhrd0GPiffQjHaGWQCiE,298737,4
Jesus Loves Me ,1xAgKtMALAz69Z59cjV8uG,0.636,0.782,1,-9.032,0,0.588,0.0207,0.000169,0.926,0.755,153.165,audio_features,1xAgKtMALAz69Z59cjV8uG,spotify:track:1xAgKtMALAz69Z59cjV8uG,https://api.spotify.com/v1/tracks/1xAgKtMALAz69Z59cjV8uG,https://api.spotify.com/v1/audio-analysis/1xAgKtMALAz69Z59cjV8uG,130196,4
1/1 ,3bCmDqflFBHijgJfvtqev5,0.26,0.00397,2,-31.095,1,0.0406,0.982,0.913,0.102,0.0368,82.862,audio_features,3bCmDqflFBHijgJfvtqev5,spotify:track:3bCmDqflFBHijgJfvtqev5,https://api.spotify.com/v1/tracks/3bCmDqflFBHijgJfvtqev5,https://api.spotify.com/v1/audio-analysis/3bCmDqflFBHijgJfvtqev5,1041520,4
